Date : 2021-10-19 13:59:23
Directory : /home/doug/C-Game
Total : 182 files,  30639 codes, 12593 comments, 4806 blanks, all 48038 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/ortho_rh_no.h                    | C++          |         31 |          6 |         10 |         47 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/ortho_rh_zo.h                    | C++          |         31 |          6 |         10 |         47 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/persp_lh_no.h                    | C++          |         65 |          6 |         17 |         88 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/persp_lh_zo.h                    | C++          |         65 |          6 |         17 |         88 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/persp_rh_no.h                    | C++          |         65 |          6 |         17 |         88 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/persp_rh_zo.h                    | C++          |         65 |          6 |         17 |         88 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/project_no.h                     | C++          |         16 |          6 |          6 |         28 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/project_zo.h                     | C++          |         16 |          6 |          6 |         28 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/view_lh_no.h                     | C++          |         19 |          6 |          7 |         32 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/view_lh_zo.h                     | C++          |         19 |          6 |          7 |         32 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/view_rh_no.h                     | C++          |         19 |          6 |          7 |         32 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/clipspace/view_rh_zo.h                     | C++          |         19 |          6 |          7 |         32 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/curve.h                                    | C++          |         13 |          6 |          5 |         24 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/ease.h                                     | C++          |        103 |          6 |         35 |        144 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/euler.h                                    | C++          |         37 |          6 |         13 |         56 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/frustum.h                                  | C++          |         28 |          6 |          8 |         42 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/io.h                                       | C++          |         30 |          6 |         10 |         46 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/mat2.h                                     | C++          |         55 |          6 |         19 |         80 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/mat3.h                                     | C++          |         59 |          7 |         21 |         87 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/mat4.h                                     | C++          |         90 |          7 |         31 |        128 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/plane.h                                    | C++          |         13 |          6 |          5 |         24 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/project.h                                  | C++          |         22 |          6 |         10 |         38 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/quat.h                                     | C++          |        121 |          6 |         41 |        168 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/ray.h                                      | C++          |         18 |          6 |          4 |         28 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/sphere.h                                   | C++          |         25 |          6 |          9 |         40 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/vec2.h                                     | C++          |        112 |          6 |         38 |        156 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/vec3.h                                     | C++          |        229 |          8 |         76 |        313 |
| /home/doug/C-Game/src/engine/vendor/cglm/call/vec4.h                                     | C++          |        212 |          8 |         71 |        291 |
| /home/doug/C-Game/src/engine/vendor/cglm/cam.h                                           | C++          |        319 |        234 |         30 |        583 |
| /home/doug/C-Game/src/engine/vendor/cglm/cglm.h                                          | C++          |         27 |          6 |          4 |         37 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/ortho_lh_no.h                         | C++          |         80 |         87 |         17 |        184 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/ortho_lh_zo.h                         | C++          |         80 |         81 |         17 |        178 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/ortho_rh_no.h                         | C++          |         80 |         87 |         17 |        184 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/ortho_rh_zo.h                         | C++          |         80 |         85 |         17 |        182 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/persp.h                               | C++          |         16 |         26 |          7 |         49 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/persp_lh_no.h                         | C++          |        166 |        186 |         44 |        396 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/persp_lh_zo.h                         | C++          |        164 |        181 |         43 |        388 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/persp_rh_no.h                         | C++          |        166 |        186 |         44 |        396 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/persp_rh_zo.h                         | C++          |        166 |        181 |         43 |        390 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/project_no.h                          | C++          |         32 |         44 |         11 |         87 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/project_zo.h                          | C++          |         32 |         44 |         13 |         89 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/view_lh.h                             | C++          |         42 |         47 |         11 |        100 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/view_lh_no.h                          | C++          |         20 |         47 |          8 |         75 |
